Season,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,R,ER,TBF,SIERA,RS/9
1989,Mariners,20,29,44,330,0,458.1,6.15,3.75,0.73,0.288,73.40%, , ,3.63,3.78, ,212,185,1993, , 
1987,Angels,23,27,36,244,0,504.1,6.3,3.71,0.77,0.279,71.80%, , ,3.64,3.87, ,236,204,2130, , 
1988,Braves,23,26,25,318,0,496.2,6.09,3.42,0.71,0.284,74.70%, , ,3.64,3.67, ,212,201,2105, , 
2004,Pirates,22,27,46,464,0,509,6.86,3.47,0.83,0.305,74.20%,48.10%,9.20%,3.64,3.99,4.22,238,206,2202,4.01,3.93
1991,Phillies,27,21,35,321,0,499,6.44,4.53,0.67,0.269,74.50%, , ,3.64,4.03, ,222,202,2189, , 
1986,Phillies,30,21,39,321,0,469.1,6.04,3.28,0.61,0.301,71.90%, , ,3.64,3.45, ,218,190,2024, , 
2002,Mariners,33,21,43,343,0,447,8.28,3.36,0.89,0.276,73.60%,40.00%,8.90%,3.64,3.63,3.89,195,181,1868,3.43,4.83
1998,Rockies,25,16,36,406,0,449.1,6.23,3.49,0.74,0.302,75.10%, , ,3.65,4.07, ,198,182,1907, , 
1993,Padres,19,29,32,397,0,498.2,7.18,3.92,0.67,0.303,72.40%, , ,3.65,3.73, ,238,202,2180, , 
1984,White Sox,15,16,32,238,0,360.1,5.59,3.4,0.72,0.29,73.40%, , ,3.65,3.8, ,163,146,1521, , 
1995,Angels,21,15,42,368,0,417,7.23,4.1,0.93,0.269,76.30%, , ,3.65,4.33, ,181,169,1775, , 
1979,White Sox,10,22,37,236,0,402,4.39,4.34,0.54,0.27,70.20%, , ,3.65,4.06, ,199,163,1757, , 
1990,Blue Jays,20,24,48,317,0,485.2,6.89,2.96,0.93,0.28,74.00%, , ,3.65,3.66, ,213,197,2016, , 
2005,Astros,16,20,45,434,0,414,8.37,3.13,1.07,0.284,76.40%,46.00%,13.00%,3.65,3.97,3.69,182,168,1749,3.29,3.65
2003,Athletics,29,14,48,364,0,423.2,6.54,3.76,0.98,0.267,76.80%,47.20%,11.20%,3.65,4.43,4.43,185,172,1811,4.12,4.06
2013,Yankees,30,14,49,428,0,477.2,9.01,3.11,1.21,0.3,79.80%,44.40%,13.90%,3.66,3.91,3.49,199,194,2016,3.15,3.64
1985,Royals,16,17,41,216,0,384,5.53,3.21,0.68,0.298,73.70%, , ,3.66,3.55, ,172,156,1649, , 
1994,Astros,19,14,29,268,0,320,7.34,3.57,0.76,0.291,75.30%, , ,3.66,3.92, ,137,130,1363, , 
1981,Twins,8,14,22,165,0,302,4.65,4.11,0.69,0.285,73.90%, , ,3.67,4, ,142,123,1325, , 
2009,Cardinals,22,18,43,481,0,437,7,4,0.89,0.269,74.70%,46.90%,9.50%,3.67,4.3,4.38,198,178,1883,4.11,3.62
1978,Brewers,18,14,24,173,0,336.1,4.71,3.24,0.67,0.269,72.00%, , ,3.67,3.74, ,155,137,1453, , 
2011,Red Sox,26,22,36,444,0,517.1,8.33,3.17,0.75,0.277,72.70%,41.10%,7.40%,3.67,3.48,3.8,221,211,2161,3.3,4.31
1999,Mets,31,19,49,439,0,492.2,9.39,4.35,1.02,0.283,78.00%, , ,3.67,4.05, ,209,201,2111, , 
1990,Twins,28,20,43,310,0,497.1,5.9,3.42,0.8,0.289,74.30%, , ,3.67,3.84, ,224,203,2127, , 
2002,Twins,30,16,47,435,0,524,6.94,3.21,0.94,0.289,76.40%,39.30%,8.80%,3.68,3.95,4.24,226,214,2219,3.83,4.04
1992,Braves,26,22,41,338,0,394,5.94,3.79,0.82,0.273,75.00%, , ,3.68,4.01, ,173,161,1670, , 
2009,Braves,21,27,38,488,0,476.2,8.46,4.02,0.62,0.316,73.20%,46.20%,7.30%,3.68,3.62,3.97,222,195,2085,3.69,3.49
1987,Mets,22,26,51,308,0,457,6.83,2.99,0.71,0.293,72.00%, , ,3.68,3.45, ,207,187,1944, , 
2002,Reds,31,26,42,462,0,574,7.09,3.42,0.82,0.284,72.80%,43.10%,8.60%,3.68,3.83,4.11,263,235,2428,3.79,3.79
1984,Rangers,17,24,21,190,0,344.1,5.91,3.79,0.65,0.29,71.90%, , ,3.69,3.72, ,163,141,1486, , 
2002,Yankees,24,17,53,334,0,427.1,6.36,2.78,0.7,0.297,71.40%,44.60%,7.40%,3.69,3.56,4,200,175,1850,3.78,4.74
2008,Angels,27,22,66,383,0,439.1,7.76,3.5,0.86,0.294,73.40%,46.50%,9.10%,3.69,3.97,4.12,206,180,1892,3.73,3.56
1978,Twins,15,24,26,176,0,356.1,4.8,4.14,0.53,0.281,73.20%, , ,3.69,3.77, ,161,146,1537, , 
1986,Tigers,17,21,38,239,0,409.2,5.73,3.45,0.9,0.278,74.50%, , ,3.69,4.02, ,187,168,1755, , 
1978,Cardinals,13,24,22,258,0,387.1,7.55,4.41,0.7,0.276,71.60%, , ,3.69,3.42, ,181,159,1657, , 
2013,Red Sox,30,23,33,450,0,470,8.89,3.31,0.9,0.308,75.60%,41.40%,9.60%,3.7,3.59,3.72,205,193,1995,3.31,4.19
1979,Giants,23,28,34,302,0,438,6.04,4.03,0.72,0.29,72.00%, , ,3.7,3.87, ,215,180,1910, , 
1988,Angels,25,19,33,262,0,413.2,5.87,3.37,0.76,0.283,71.40%, , ,3.7,3.77, ,197,170,1761, , 
2001,Indians,31,21,42,483,0,569,8.34,3.54,0.7,0.301,71.60%, , ,3.7,3.51, ,267,234,2453, , 
2011,Diamondbacks,23,14,58,463,0,439.1,7.74,3.4,0.8,0.292,74.10%,44.40%,8.50%,3.71,3.76,3.92,197,181,1888,3.54,4.32
2007,Rangers,33,22,42,467,0,592,6.83,4.1,0.71,0.284,73.60%,47.40%,7.90%,3.71,4.24,4.47,271,244,2556,4.27,4.99
2001,Reds,25,24,35,461,0,567.2,7.02,3.41,0.9,0.286,72.30%, , ,3.71,4.08, ,276,234,2451, , 
2011,Indians,27,21,38,483,0,492,7.19,3.22,0.88,0.282,74.00%,39.30%,8.00%,3.71,3.9,4.17,220,203,2089,3.72,4.13
2004,Phillies,32,29,43,476,0,540.1,6.88,3.01,1.05,0.283,75.10%,47.80%,10.90%,3.71,4.19,4.19,246,223,2282,3.86,4.36
1982,Tigers,21,20,27,228,0,380.1,5.06,3.72,0.99,0.256,74.70%, , ,3.72,4.32, ,172,157,1595, , 
1979,Braves,17,24,34,283,0,416.1,5.21,3.33,0.76,0.302,71.40%, , ,3.72,3.88, ,213,172,1834, , 
1984,Dodgers,18,25,27,258,0,372.1,7.18,4.21,0.58,0.31,74.40%, , ,3.72,3.46, ,167,154,1634, , 
1996,Braves,26,18,46,408,0,442.1,8.02,3.24,0.81,0.291,72.10%, , ,3.72,3.71, ,202,183,1876, , 
1993,White Sox,18,13,48,322,0,386.2,6.19,3.28,0.65,0.298,72.80%, , ,3.72,3.78, ,178,160,1672, , 
2001,Braves,24,23,41,411,0,439.2,8.45,3.64,1.06,0.284,74.10%, , ,3.73,4, ,207,182,1882, , 
1989,White Sox,24,24,46,321,0,512,5.43,3.36,0.98,0.266,73.90%, , ,3.73,4.2, ,239,212,2184, , 
1984,Giants,30,33,38,359,0,577,5.54,4.09,0.51,0.291,71.10%, , ,3.73,3.69, ,278,239,2531, , 
1983,White Sox,15,16,48,243,0,379,4.63,3.02,0.71,0.278,72.50%, , ,3.73,3.84, ,171,157,1601, , 
2011,Rays,24,15,32,438,0,391,7.34,3.96,0.92,0.266,74.00%,42.20%,8.90%,3.73,4.14,4.26,176,162,1645,3.89,3.82
2010,White Sox,24,20,43,407,0,441.2,9.05,3.79,0.79,0.314,73.90%,44.70%,8.80%,3.73,3.57,3.65,204,183,1915,3.34,3.97
2011,Cardinals,28,30,47,468,0,463,8.18,3.3,0.95,0.282,73.90%,43.30%,9.60%,3.73,3.87,3.88,211,192,1969,3.4,4.04
1981,Cardinals,17,13,33,219,0,330.1,4.5,3.54,0.49,0.271,70.80%, , ,3.73,3.52, ,147,137,1388, , 
1982,Blue Jays,27,21,25,220,0,407.1,5.7,3.4,0.84,0.272,71.60%, , ,3.73,3.86, ,194,169,1740, , 
2010,Cardinals,18,20,32,455,0,462.2,6.73,3.29,0.93,0.28,75.90%,46.50%,9.60%,3.73,4.15,4.12,201,192,1965,3.83,3.73
1995,Phillies,23,21,41,341,0,462.1,7.57,4.34,0.8,0.281,74.40%, , ,3.74,4.16, ,210,192,1981, , 
1995,Astros,30,16,32,394,0,464.2,7.53,3.85,0.76,0.308,74.90%, , ,3.74,3.93, ,212,193,2028, , 
2011,Athletics,15,25,39,460,0,455,7.95,3.74,0.79,0.292,70.80%,40.60%,7.50%,3.74,3.73,4.07,223,189,1964,3.66,3.54
1976,Expos,15,24,21,309,0,476,3.99,3.93,0.45,0.283,71.30%, , ,3.74,3.8, ,224,198,2055, , 
1985,Orioles,23,18,33,238,0,480.2,5.65,4.12,0.75,0.28,71.20%, , ,3.74,3.9, ,237,200,2068, , 
1994,Orioles,17,15,37,234,0,288.1,6.62,3.43,0.91,0.297,76.50%, , ,3.75,4.26, ,129,120,1252, , 
1977,Rangers,26,15,31,200,0,372.1,5.17,3.31,0.82,0.282,73.70%, , ,3.75,3.95, ,171,155,1584, , 
2009,Padres,29,25,45,527,0,571.2,8.31,3.86,0.85,0.302,74.10%,45.90%,9.10%,3.75,3.85,3.98,265,238,2470,3.69,3.86
1991,Giants,21,24,45,334,0,497,6.21,3.69,0.89,0.276,74.80%, , ,3.75,4.07, ,223,207,2112, , 
2012,White Sox,25,25,37,466,0,465.2,8.06,3.46,1.1,0.28,76.40%,42.90%,11.90%,3.75,4.19,4.12,207,194,1966,3.72,4.27
1981,Phillies,20,17,23,184,0,276,4.66,3.49,0.65,0.282,72.90%, , ,3.75,3.71, ,125,115,1178, , 
1974,Mets,13,25,14,212,0,350.1,4.21,3.67,0.62,0.304,73.40%, , ,3.75,3.81, ,169,146,1553, , 
1997,Brewers,21,21,44,367,0,477.1,7.52,3.7,1,0.303,76.50%, , ,3.75,4.25, ,219,199,2054, , 
2007,Indians,26,17,49,395,0,441.1,8.18,3.26,0.84,0.304,74.50%,37.90%,7.30%,3.75,3.77,4.16,195,184,1888,3.73,4.16
2004,Padres,23,17,44,437,0,482,8.05,3.23,1.18,0.286,76.50%,40.20%,11.30%,3.75,4.13,4.07,218,201,2046,3.68,3.62
2011,Royals,26,26,37,420,0,508.1,8.13,4.09,0.97,0.285,76.60%,45.20%,10.50%,3.75,4.07,3.96,223,212,2168,3.65,3.88
1975,Expos,31,23,25,271,0,434,4.77,4.02,0.46,0.286,71.60%, , ,3.75,3.64, ,205,181,1899, , 
1998,Yankees,28,9,48,334,0,395.1,5.9,3.07,0.84,0.277,74.90%, , ,3.76,4.24, ,173,165,1679, , 
2007,Cubs,21,27,39,478,0,491,8.73,4.18,0.79,0.297,75.70%,39.30%,7.40%,3.76,3.93,4.27,213,205,2117,3.85,3.85
2000,Dodgers,32,25,36,371,0,479,6.93,3.91,0.86,0.284,74.80%, , ,3.76,4.26, ,218,200,2061, , 
1994,Giants,14,18,33,287,0,325.1,6.94,4.09,1.19,0.265,78.20%, , ,3.76,4.76, ,144,136,1374, , 
2011,Pirates,23,29,43,549,0,526,7.75,3.76,0.8,0.3,74.90%,42.40%,8.20%,3.76,3.83,4.03,239,220,2298,3.7,2.93
1978,Expos,14,25,32,267,0,406.1,4.78,4.61,0.82,0.27,74.80%, , ,3.77,4.3, ,191,170,1763, , 
1982,Indians,26,18,30,221,0,423,6.02,3.62,0.66,0.284,70.50%, , ,3.77,3.56, ,203,177,1827, , 
1999,Yankees,27,14,50,359,0,437,6.9,3.32,0.86,0.28,72.80%, , ,3.77,4.07, ,203,183,1873, , 
1999,Diamondbacks,31,22,42,382,0,410.2,7.25,3.99,1.01,0.281,75.70%, , ,3.77,4.43, ,189,172,1759, , 
2012,Twins,27,21,35,499,0,558.2,6.48,2.92,0.92,0.274,72.10%,46.40%,10.10%,3.77,4.09,4.25,261,234,2357,3.96,3.62
1989,Phillies,23,20,33,348,0,513,6.09,3.79,0.68,0.275,70.90%, , ,3.77,3.74, ,242,215,2185, , 
2003,Phillies,23,20,33,437,0,474.2,6.31,3.7,0.72,0.281,74.20%,48.60%,8.20%,3.77,4.07,4.45,211,199,2035,4.15,4.36
1997,Blue Jays,19,24,34,336,0,388.2,7.25,3.27,1,0.325,77.60%, , ,3.77,4.07, ,176,163,1693, , 
1990,Yankees,25,24,41,342,0,498.1,5.98,4.21,0.87,0.281,75.00%, , ,3.77,4.18, ,231,209,2155, , 
2006,Rangers,19,24,42,489,0,534,7.11,3.34,0.76,0.29,72.10%,50.00%,9.20%,3.78,3.93,4.12,248,224,2263,3.88,4.01
1978,Giants,26,20,29,239,0,338.1,5.29,4.07,0.45,0.295,71.50%, , ,3.78,3.48, ,160,142,1479, , 
1974,Rangers,11,15,12,189,0,362,6.02,3.56,0.82,0.283,71.20%, , ,3.78,3.71, ,179,152,1561, , 
2006,Angels,25,17,50,380,0,464.1,8.02,3.39,0.95,0.288,72.90%,46.10%,9.90%,3.78,3.96,4.08,218,195,1977,3.76,3.59
1987,Cardinals,36,26,48,362,0,492.2,6.43,3.62,0.91,0.282,75.00%, , ,3.78,4.02, ,221,207,2089, , 
1993,Marlins,17,26,48,409,0,480.2,6.72,4.23,0.81,0.274,73.90%, , ,3.78,4.11, ,220,202,2081, , 
1990,Indians,21,23,47,301,0,464,6.4,3.92,0.87,0.278,74.20%, , ,3.78,4.04, ,214,195,1989, , 
1975,Rangers,20,13,17,224,0,397.1,4.55,4.67,0.54,0.273,71.00%, , ,3.78,4.02, ,196,167,1722, , 
2012,Tigers,25,23,40,420,0,458.2,8.5,3.43,0.92,0.298,73.50%,39.20%,9.10%,3.79,3.77,4.09,212,193,1947,3.64,3.83
1975,Padres,16,20,20,290,0,427.2,5.58,4.12,0.63,0.296,72.20%, , ,3.79,3.71, ,212,180,1906, , 
1975,Red Sox,18,10,31,167,0,299.1,5.38,4.48,0.81,0.286,74.80%, , ,3.79,4.11, ,144,126,1333, , 
1993,Red Sox,25,26,44,389,0,451.1,7.46,4.39,0.58,0.291,70.30%, , ,3.79,3.75, ,222,190,1961, , 
2008,Yankees,30,20,42,475,0,543.1,8.66,3.53,0.94,0.284,75.30%,42.30%,9.50%,3.79,3.82,3.91,234,229,2284,3.49,4.39
1985,Athletics,23,24,41,299,0,538.1,5.42,3.95,0.97,0.252,75.20%, , ,3.8,4.26, ,240,227,2284, , 
2009,Red Sox,27,17,41,463,0,479,8.25,3.96,0.96,0.297,76.20%,35.70%,8.00%,3.8,4.15,4.52,221,202,2109,3.91,4.72
1988,Yankees,29,23,43,304,0,550,5.78,3.34,0.83,0.282,74.80%, , ,3.8,3.89, ,245,232,2363, , 
1980,White Sox,19,22,42,236,0,433.2,4.63,4.21,0.44,0.281,70.70%, , ,3.8,3.84, ,208,183,1891, , 
1978,Mets,22,34,26,270,0,417,4.99,4.04,0.67,0.286,74.10%, , ,3.8,3.84, ,190,176,1800, , 
1989,Yankees,19,18,44,278,0,445.1,5.98,3.4,0.81,0.296,71.90%, , ,3.8,3.82, ,219,188,1919, , 
1997,Cardinals,23,31,39,399,0,454.2,6.49,3.27,0.87,0.303,72.30%, , ,3.8,4.15, ,228,192,1983, , 
2002,Pirates,21,22,47,458,0,516,7.12,3.91,0.87,0.291,75.10%,45.00%,10.10%,3.8,4.07,4.14,236,218,2217,3.91,3.78
1988,Red Sox,21,22,37,250,0,404.2,6.54,3.34,0.67,0.3,71.50%, , ,3.8,3.51, ,194,171,1756, , 
1988,Cardinals,24,31,42,333,0,435.1,5.6,3.49,0.74,0.287,72.10%, , ,3.8,3.79, ,206,184,1872, , 
1980,Brewers,16,20,30,231,0,395,3.96,3.35,0.68,0.276,71.50%, , ,3.81,4.04, ,190,167,1718, , 
2005,Blue Jays,20,25,35,432,0,499,6.26,3.43,1.17,0.272,77.10%,47.50%,12.40%,3.81,4.59,4.34,226,211,2115,4.03,3.84
2008,Reds,23,20,34,507,0,525,7.97,3.67,1.01,0.315,76.10%,47.00%,11.50%,3.81,4.18,4,250,222,2308,3.7,3.86
2006,Phillies,25,27,42,500,0,539,6.88,3.41,0.95,0.301,76.60%,44.60%,10.20%,3.81,4.27,4.36,243,228,2330,4.12,4.96
1991,Royals,19,21,41,295,0,463.1,7.11,3.92,0.58,0.315,71.70%, , ,3.81,3.47, ,226,196,2045, , 
2007,Nationals,30,27,46,588,0,590.2,6.6,3.44,0.81,0.283,73.70%,40.70%,6.90%,3.81,4.15,4.61,266,250,2531,4.27,4.14
1990,Giants,23,24,45,335,0,484.1,5.33,3.7,0.74,0.286,72.90%, , ,3.81,3.97, ,229,205,2101, , 
1993,Orioles,23,21,42,329,0,465.1,6.02,3.98,0.87,0.274,72.90%, , ,3.81,4.32, ,223,197,1997, , 
2002,Astros,22,26,43,480,0,538.1,8.44,3.63,0.99,0.29,74.70%,40.80%,10.10%,3.81,3.87,3.95,249,228,2310,3.49,3.85
1984,Red Sox,24,17,32,201,0,372.2,5.58,4.15,0.75,0.292,70.80%, , ,3.82,4.05, ,195,158,1649, , 
1996,Indians,30,20,46,382,0,467,7.75,3.53,0.96,0.293,73.70%, , ,3.82,4.1, ,219,198,1981, , 
2007,Dodgers,24,19,43,483,0,533,8.43,3.02,0.88,0.292,72.80%,41.50%,9.00%,3.82,3.74,3.84,238,226,2228,3.48,3.65
1992,Cubs,19,28,37,372,0,441,6.16,4.51,0.71,0.296,74.60%, , ,3.82,4.01, ,207,187,1938, , 
1984,Angels,23,17,26,203,0,379.2,6.07,3.32,1.14,0.287,77.00%, , ,3.82,4.23, ,175,161,1634, , 
1980,Royals,22,13,42,201,0,370,3.41,3.09,0.71,0.286,73.00%, , ,3.82,4.11, ,174,157,1601, , 
1988,Giants,18,30,42,290,0,440.2,6.68,3.17,0.76,0.283,69.20%, , ,3.82,3.5, ,214,187,1856, , 
1986,Angels,22,14,40,246,0,407.2,5.7,3.05,0.97,0.273,72.30%, , ,3.82,4, ,193,173,1708, , 
1980,Blue Jays,20,21,23,286,0,487.2,4.45,3.97,0.85,0.282,75.10%, , ,3.82,4.4, ,228,207,2103, , 
1985,Dodgers,22,25,36,250,0,391,7.73,3.06,0.81,0.28,67.90%, , ,3.82,3.17, ,191,166,1648, , 
1985,Rangers,16,22,33,264,0,478,6.18,3.2,0.92,0.281,73.30%, , ,3.82,3.79, ,223,203,2035, , 
2005,Tigers,20,21,37,425,0,459,6.61,3.29,1.25,0.272,78.00%,41.20%,11.70%,3.82,4.59,4.42,207,195,1948,4.01,3.86
1991,Pirates,31,20,51,353,0,451.2,6.48,3.13,0.9,0.275,72.60%, , ,3.83,3.83, ,207,192,1901, , 
1992,Tigers,23,24,36,355,0,534,5.01,3.81,0.67,0.273,71.50%, , ,3.83,3.96, ,252,227,2293, , 
2010,Athletics,17,23,38,423,0,439.2,8.09,3.79,1.08,0.287,75.80%,40.90%,10.20%,3.83,4.19,4.06,203,187,1893,3.68,3.71
2010,Indians,18,22,34,470,0,484.1,7.1,3.9,0.91,0.286,74.80%,43.50%,8.80%,3.83,4.26,4.35,225,206,2092,4,3.05
2009,Mariners,27,30,49,410,0,491.1,6.83,3.66,1.03,0.275,73.20%,41.10%,9.40%,3.83,4.35,4.47,236,209,2095,4.14,2.91
2001,Astros,29,21,48,405,0,493.2,8.88,3.34,1.19,0.284,76.70%, , ,3.83,4.08, ,222,210,2086, , 
1988,Mariners,21,22,28,292,0,409,6.45,4.14,0.86,0.273,71.60%, , ,3.83,4.06, ,204,174,1778, , 
1997,Astros,22,28,37,354,0,416,9,3.61,0.76,0.3,72.90%, , ,3.83,3.54, ,188,177,1771, , 
2002,White Sox,20,17,35,423,0,474.2,7.3,3.41,1.08,0.274,74.80%,41.40%,10.30%,3.83,4.21,4.26,220,202,2009,3.77,4.72
1991,Expos,22,31,39,367,0,441.2,5.85,3.69,0.71,0.277,70.60%, , ,3.83,3.9, ,213,188,1875, , 
1998,Braves,16,16,45,354,0,364,8.51,4.3,0.82,0.278,71.40%, , ,3.83,3.96, ,175,155,1563, , 
1976,Astros,15,13,29,235,0,387.1,5.16,4.51,0.63,0.287,74.60%, , ,3.83,3.96, ,178,165,1709, , 
1998,Devil Rays,24,20,28,410,0,502,6.81,4.02,0.86,0.279,74.20%, , ,3.84,4.36, ,232,214,2146, , 
2000,Brewers,25,24,29,433,0,502,6.97,4.5,0.93,0.282,75.40%, , ,3.84,4.53, ,236,214,2186, , 
2003,Indians,21,31,34,428,0,520.1,6.81,3.44,0.95,0.279,73.40%,42.40%,9.60%,3.84,4.19,4.42,246,222,2226,4.03,3.17
1999,Astros,25,14,48,339,0,403,9.36,4.27,0.8,0.306,75.20%, , ,3.84,3.79, ,182,172,1755, , 
1985,Mariners,22,8,30,335,0,506,5.83,3.82,0.96,0.263,72.50%, , ,3.84,4.14, ,246,216,2168, , 
2003,Twins,24,21,45,399,0,487,7.39,3.38,0.94,0.285,74.20%,37.60%,9.00%,3.84,4,4.33,225,208,2105,3.89,4.08
1998,Mets,26,26,46,399,0,435.1,7.65,4.09,0.87,0.306,76.10%, , ,3.85,4.23, ,201,186,1906, , 
1981,Cubs,11,20,20,263,0,381.1,4.86,4.18,0.4,0.289,70.20%, , ,3.85,3.54, ,185,163,1669, , 
2007,Rockies,35,26,39,529,0,528.2,6.47,3.27,0.82,0.283,73.20%,48.60%,9.10%,3.85,4.19,4.26,239,226,2215,4.04,4.55
1983,Royals,23,18,49,229,0,470,4.16,2.7,0.82,0.272,69.00%, , ,3.85,4, ,235,201,1984, , 
2002,Expos,28,20,39,437,0,497.2,7.56,3.82,0.9,0.296,73.10%,51.80%,11.20%,3.85,3.96,3.89,243,213,2166,3.62,4.21
1983,Tigers,23,17,28,205,0,373.2,5.85,3.47,1.11,0.254,73.60%, , ,3.85,4.25, ,174,160,1555, , 
1996,Mets,22,28,41,335,0,432,6.85,4.23,0.85,0.31,73.40%, , ,3.85,4.35, ,220,185,1924, , 
1983,Mariners,14,23,39,282,0,446,6.82,3.98,0.91,0.301,73.30%, , ,3.85,3.97, ,221,191,1916, , 
1991,Astros,20,34,36,365,0,496.2,6.65,4.51,0.72,0.283,71.80%, , ,3.86,3.99, ,244,213,2161, , 
1985,Mets,22,24,37,243,0,396.1,5.5,3.47,0.66,0.285,70.10%, , ,3.86,3.61, ,194,170,1713, , 
1985,Red Sox,19,19,29,202,0,363.2,5.59,4.28,0.59,0.294,72.40%, , ,3.86,3.8, ,176,156,1601, , 
1975,Angels,13,14,16,192,0,352,4.86,3.53,0.87,0.289,69.20%, , ,3.86,3.96, ,191,151,1537, , 
1983,Athletics,28,25,33,287,0,531,4.71,4.12,0.73,0.278,73.00%, , ,3.86,4.18, ,256,228,2331, , 
1998,Red Sox,28,20,53,432,0,498.1,6.32,3.68,0.78,0.279,71.80%, , ,3.86,4.17, ,238,214,2148, , 
2002,Athletics,28,18,48,408,0,419,6.32,3.46,0.6,0.299,71.60%,52.10%,7.00%,3.87,3.75,4.2,201,180,1832,3.86,3.59
1975,Tigers,7,15,17,155,0,379,6.51,4.58,0.9,0.287,72.80%, , ,3.87,4.02, ,194,163,1672, , 
2009,Twins,25,20,48,480,0,518.1,7.15,3.68,0.97,0.286,75.90%,42.40%,9.00%,3.87,4.32,4.49,237,223,2233,4.05,3.85
1990,Mariners,20,23,41,311,0,395,6.58,4.31,0.73,0.288,70.70%, , ,3.87,3.93, ,202,170,1732, , 
2007,Twins,20,18,38,438,0,469.1,7.36,3.28,1.05,0.291,75.00%,45.50%,10.40%,3.87,4.35,4.24,219,202,2001,3.88,3.7
2000,Red Sox,29,23,46,425,0,566.1,6.75,3.05,0.95,0.29,72.50%, , ,3.88,4.12, ,273,244,2425, , 
2001,Brewers,18,24,28,489,0,543,7.26,4.28,1.09,0.273,77.00%, , ,3.88,4.6, ,252,234,2371, , 
1998,Dodgers,24,22,47,342,0,403.2,7.47,3.92,0.89,0.296,74.30%, , ,3.88,4.22, ,193,174,1761, , 
2001,Diamondbacks,25,21,34,421,0,457,7.17,3.47,1.16,0.262,75.20%, , ,3.88,4.4, ,209,197,1916, , 
2011,Blue Jays,30,20,33,474,0,494,7.52,3.33,0.97,0.293,74.10%,46.00%,10.20%,3.88,4,3.93,231,213,2109,3.56,3.81
2011,White Sox,21,22,42,410,0,438.1,9.83,3.72,0.92,0.31,73.80%,42.80%,10.30%,3.88,3.5,3.42,204,189,1889,3.05,3.45
2001,Phillies,28,27,47,473,0,484.2,6.91,3.38,0.84,0.294,73.70%, , ,3.88,4, ,226,209,2087, , 
1997,Rangers,28,19,33,382,0,470.2,6.48,3.56,0.75,0.292,71.40%, , ,3.88,4.01, ,229,203,2037, , 
2012,Red Sox,21,21,35,489,0,514.2,8.31,3.38,0.96,0.291,74.80%,45.10%,11.00%,3.88,3.91,3.94,231,222,2174,3.59,3.43
1977,Brewers,19,14,25,215,0,396,5.84,4.02,0.68,0.279,71.80%, , ,3.89,3.83, ,188,171,1701, , 
2008,Brewers,31,24,45,445,0,472.1,7.34,4.08,1.07,0.281,75.40%,47.80%,13.10%,3.89,4.49,4.14,224,204,2044,3.98,4.23
1979,Brewers,23,13,23,204,0,354,4.3,3.48,0.79,0.295,72.60%, , ,3.89,4.12, ,177,153,1555, , 
1983,Yankees,21,19,32,202,0,377,6.64,3.13,0.53,0.302,69.60%, , ,3.89,3.14, ,179,163,1626, , 
2005,Brewers,23,24,46,395,0,446.1,7.6,4.5,0.87,0.288,75.10%,44.20%,9.30%,3.89,4.18,4.36,209,193,1966,4.07,3.77
2009,Marlins,31,23,45,530,0,543.1,8.2,4.42,0.83,0.297,73.40%,42.50%,8.00%,3.89,4.07,4.39,264,235,2384,3.99,4.19
2009,Mets,17,28,39,511,0,501.2,7.1,4.31,0.79,0.289,73.70%,47.00%,8.30%,3.89,4.23,4.48,240,217,2203,4.2,3.89
1982,Orioles,26,22,34,231,0,423,5.6,3.77,0.64,0.274,71.60%, , ,3.89,3.69, ,193,183,1793, , 
1984,Cubs,31,20,50,271,0,448.1,6.64,3.53,0.68,0.286,71.50%, , ,3.89,3.48, ,206,194,1907, , 
2007,Royals,20,23,36,448,0,550,7.63,3.44,0.9,0.303,73.50%,39.40%,8.40%,3.89,4.08,4.28,261,238,2362,3.93,4.06
2012,Cardinals,17,27,42,506,0,473.1,8.27,3.14,1.05,0.285,75.00%,46.80%,12.40%,3.9,3.92,3.79,212,205,2003,3.49,3.61
1996,Phillies,23,24,42,387,0,489.1,7.38,3.79,0.86,0.294,71.10%, , ,3.9,4.09, ,245,212,2105, , 
2004,Devil Rays,23,20,35,401,0,549.1,6.85,3.44,1.06,0.276,74.00%,41.20%,9.90%,3.9,4.4,4.56,265,238,2362,4.14,4.01
1978,White Sox,11,18,33,200,0,401.1,4.1,3.07,0.78,0.278,70.60%, , ,3.9,3.95, ,198,174,1693, , 
1990,Cardinals,17,23,39,364,0,477,5.47,3.45,0.66,0.288,70.70%, , ,3.91,3.74, ,231,207,2061, , 
2008,Twins,24,27,42,485,0,500,7.16,3.26,1.08,0.293,74.60%,47.30%,11.60%,3.91,4.26,4.06,237,217,2129,3.78,3.8
1998,Angels,25,24,52,415,0,483.2,7.74,3.83,1.02,0.274,74.20%, , ,3.91,4.27, ,225,210,2060, , 
1986,Blue Jays,32,24,44,290,0,474.1,8.08,3.23,0.87,0.291,70.70%, , ,3.91,3.41, ,229,206,2014, , 
2004,Mets,25,30,31,474,0,520.1,7.47,3.58,0.86,0.3,73.20%,48.40%,9.70%,3.91,3.94,4.09,251,226,2270,3.86,3.44
